"","x"
"854","Patrick Roger"
"855","Raphaëlle Besse Desmoulières"
"856","Audrey Tonnelier"
"857","Solenn de Royer"
"858","Thomas Wieder"
"859","Cécile Ducourtieux"
"860","Patrick Roger"
"861","Cédric Pietralunga"
"862","Nathalie Guibert"
"863","Patrick Roger"
"864","Sarah Belouezzane"
"865","Raphaëlle Besse Desmoulières"
"866","Philippe Jacqué"
"867","Cédric Pietralunga"
"868","Laurence Caramel"
"869","Alexandre Lemarié"
"870","Benoît Floc'h"
"871","Lucie Soullier"
"872","Claire Legros"
"873","Patrick Roger"
"874","Alexandre Pouchard"
"875","Asia Balluffier"
"876","Olivier Faye"
"877","Gérard Courtois"
"878","Cédric Pietralunga"
"879","Solenn de Royer"
"880","Julien Bouissou"
"881","Bastien Bonnefous"
"882","Maxime Ferrer"
"883","Bastien Bonnefous"
"884","Marc Semo"
"885","Adrien Sénécat"
"886","Eric Albert"
"887","Isabelle Rey-Lefebvre"
"888","Abel Mestre"
"889","Patrick Roger"
"890","Elise Barthet"
"891","Benoît Floc'h"
"892","Audrey Tonnelier"
"893","Cécile Ducourtieux"
"894","Jean-Pierre Stroobants"
"895","Michel Noblecourt"
"896","Abel Mestre"
"897","Manon Rescan"
"898","Mathilde Damgé"
"899","Lucie Soullier"
"900","Marc Semo"
"901","Bastien Bonnefous"
"902","Bastien Bonnefous"
"903","Lucie Soullier"
"904","Catherine Vincent"
"905","Julien Bouissou"
"906","Bastien Bonnefous"
"907","Manon Rescan"
"908","Alexandre Lemarié"
"909","Lucie Soullier"
"910","Françoise Fressoz"
"911","Audrey Tonnelier"
"912","Lucie Soullier"
"913","Manon Rescan"
"914","Maxime Ferrer"
"915","Séverin Graveleau"
"916","Lucie Soullier"
"917","Cédric Pietralunga"
"918","Alexandre Lemarié"
"919","Grégoire Allix"
"920","Julien Bouissou"
"921","Bastien Bonnefous"
"922","Audrey Tonnelier"
"923","Adrien Sénécat"
"924","Anne-Aël Durand"
"925","Audrey Tonnelier"
"926","Sarah Belouezzane"
"927","Elise Barthet"
"928","Julien Bouissou"
"929","Sarah Belouezzane"
"930","Bertrand Bissuel"
"931","Bertrand Bissuel"
"932","Manon Rescan"
"933","Soazig Le Nevé"
"934","Soazig Le Nevé"
"935","Antoine Schirer"
"936","Karim El Hadj"
"937","Alexandre Lemarié"
"938","Abel Mestre"
"939","Françoise Fressoz"
"940","Gaëlle Dupont"
"941","Denis Cosnard"
"942","Philippe Jacqué"
"943","Flavie Holzinger"
"944","Eugénie Dumas"
"945","Mouna El Mokhtari"
"946","Lucie Soullier"
"947","Cécile Chambraud"
