"","x"
"836","Ludovic Vigogne"
"837","Christophe Rouillon"
"838","Béatrice Houchard"
"839","Cyril Lacarrière"
"840","l’Opinion"
"841","Patrick Devedjian"
"842","l’Opinion"
"843","Nathalie Segaunes"
"844","Caroline Vigoureux"
"845","Ludovic Vigogne"
"846","Irène Inchauspé"
"847","l’Opinion"
"848","Hakim El Karoui"
"849","l’Opinion"
"850","Nicolas Beytout"
"851","Laurent Cohen-Tanugi"
"852","Rémi Godeau"
"853","Irène Inchauspé"
"854","Nicolas Beytout"
"855","Ludovic Vigogne"
"856","Ivanne Trippenbach"
"857","6 Medias"
"858","Martine Daoust et Patrick Hetzel"
"859","6 Medias"
"860","Béatrice Houchard"
"861","Eric Le Boucher"
"862","Béatrice Houchard"
"863","Olivier Auguste"
"864","Irène Inchauspé"
"865","Raphaël Proust"
"866","Béatrice Houchard"
"867","l'Opinion vidéos"
"868","Ivanne Trippenbach"
"869","l’Opinion"
"870","l'Opinion vidéos"
"871","l'Opinion vidéos"
"872","l'Opinion vidéos"
"873","l'Opinion vidéos"
"874","l'Opinion vidéos"
"875","Nathalie Segaunes"
"876","Nicolas Beytout"
"877","l'Opinion vidéos"
"878","Ludovic Vigogne"
"879","l'Opinion vidéos"
"880","Caroline Vigoureux"
"881","Caroline Vigoureux"
"882","Béatrice Houchard"
"883","Ivanne Trippenbach"
"884","Béatrice Houchard"
"885","Rémi Godeau"
"886","Nathalie Segaunes"
"887","Romain Segond"
"888","Raphaël Proust"
"889","Patrick Devedjian"
"890","Caroline Vigoureux"
"891","Nicolas Beytout"
"892","l'Opinion vidéos"
"893","Béatrice Houchard"
"894","l’Opinion"
"895","Nicolas Beytout"
"896","Caroline Vigoureux"
"897","Raphaël Proust"
"898","Ivanne Trippenbach"
"899","Ludovic Vigogne"
"900","Irène Inchauspé"
"901","Hakim El Karoui"
"902","Nathalie Segaunes"
"903","Nathalie Segaunes"
"904","Nicolas Beytout"
"905","Irène Inchauspé"
"906","Raphaël Proust"
"907","Ivanne Trippenbach"
"908","Irène Inchauspé"
"909","l’Opinion"
"910","Cyril Lacarrière"
"911","L’Opinion"
"912","l'Opinion vidéos"
"913","Florent Boudié"
"914","l’Opinion"
"915","Nicolas Beytout"
"916","Caroline Vigoureux"
"917","Raphaël Proust"
"918","Gilles Savary"
"919","Nathalie Segaunes"
"920","Ludovic Vigogne"
"921","Béatrice Houchard"
"922","Raphaël Proust"
"923","Nathalie Segaunes"
"924","Ludovic Vigogne"
"925","Caroline Vigoureux"
"926","Irène Inchauspé"
"927","Béatrice Houchard"
"928","Cyrille Lachèvre"
"929","Caroline Vigoureux"
"930","Renaud Belleville"
"931","Philippe Bas"
"932","Ivanne Trippenbach"
"933","Ludovic Vigogne"
"934","Ivanne Trippenbach"
"935","Cyrille Lachèvre"
"936","Irène Inchauspé"
"937","Irène Inchauspé"
"938","Julien Aubert"
"939","Irène Inchauspé"
"940","Caroline Vigoureux"
"941","Jean-Christophe Cambadelis"
"942","L’Opinion"
"943","Nathalie Segaunes"
"944","l’Opinion"
"945","l’Opinion"
"946","Ivanne Trippenbach"
"947","Nathalie Segaunes"
"948","Ivanne Trippenbach"
"949","Irène Inchauspé"
"950","Nathalie Segaunes"
"951","Benoît Simian"
"952","Olivier Auguste"
"953","l’Opinion"
"954","Michael Miguères"
"955","Caroline Vigoureux"
"956","l’Opinion"
"957","Raphaël Proust"
"958","Nathalie Segaunes"
"959","Rémi Godeau"
"960","Béatrice Houchard"
"961","Olivier Babeau"
"962","Patrick Devedjian"
"963","Philippe Juvin"
"964","Ludovic Vigogne"
"965","Ludovic Vigogne"
"966","Raphaël Proust"
"967","Nathalie Segaunes"
"968","Nicolas Beytout"
"969","l’Opinion"
"970","Ivanne Trippenbach"
"971","Caroline Vigoureux"
"972","Ivanne Trippenbach"
"973","Ivanne Trippenbach"
"974","Nicolas Beytout"
"975","Hakim El Karoui"
"976","Ludovic Vigogne"
"977","Ludovic Vigogne"
"978","Rémi Godeau"
"979","Ivanne Trippenbach"
"980","L’Opinion"
"981","Eric Le Boucher"
"982","Nathalie Segaunes"
